t,t_norm,snr_linear,snr_cosine,snr_cosine_match_linear
0,0.0,9997.3408203125,24243.53125,30011.908203125
1,0.001001001001001001,4545.6708984375,11443.212890625,14168.9462890625
2,0.002002002002002002,2778.986083984375,7224.330078125,8946.8486328125
3,0.003003003003003003,1924.3173828125,5148.54443359375,6375.7451171875
4,0.004004004004004004,1429.526611328125,3920.742919921875,4854.923828125
5,0.005005005005005005,1111.9903564453125,3119.181396484375,3861.158447265625
6,0.006006006006006006,893.593994140625,2557.672607421875,3166.9033203125
7,0.007007007007007007,735.9093627929688,2144.698486328125,2655.303955078125
8,0.008008008008008008,617.8114624023438,1829.7742919921875,2265.578857421875
9,0.009009009009009009,526.7513427734375,1583.2508544921875,1960.3299560546875
10,0.01001001001001001,454.8902282714844,1386.0052490234375,1716.2176513671875
11,0.011011011011011011,397.1020812988281,1224.95654296875,1516.750732421875
12,0.012012012012012012,349.8630065917969,1091.6934814453125,1351.7830810546875
13,0.013013013013013013,310.72247314453125,979.7796020507812,1213.1566162109375
14,0.014014014014014014,277.8858642578125,884.948974609375,1095.6934814453125
15,0.015015015015015015,250.0619659423828,803.6626586914062,995.0942993164062
16,0.016016016016016016,226.26580810546875,733.4254760742188,908.1370849609375
17,0.01701701701701702,205.74581909179688,672.18896484375,832.3192138671875
18,0.018018018018018018,187.92410278320312,618.611328125,765.9584350585938
19,0.01901901901901902,172.3362579345703,571.2691650390625,707.3776245117188
20,0.02002002002002002,158.62490844726562,529.3036499023438,655.4112548828125
21,0.021021021021021023,146.4984893798828,491.92559814453125,609.1249389648438
22,0.022022022022022022,135.71803283691406,458.3980407714844,567.622802734375
23,0.023023023023023025,126.09049224853516,428.2824401855469,530.328125
24,0.024024024024024024,117.45639038085938,401.08062744140625,496.64825439453125
25,0.025025025025025027,109.68152618408203,376.4231872558594,466.1367492675781
26,0.026026026026026026,102.65647888183594,354.020751953125,438.40118408203125
27,0.02702702702702703,96.28629302978516,333.5740661621094,413.0886535644531
28,0.028028028028028028,90.49229431152344,314.8777770996094,389.94061279296875
29,0.02902902902902903,85.20543670654297,297.7289733886719,368.705078125
30,0.03003003003003003,80.36893463134766,281.94964599609375,349.17462158203125
31,0.031031031031031032,75.93253326416016,267.41827392578125,331.1760559082031
32,0.03203203203203203,71.85319519042969,253.9922637939453,314.55694580078125
33,0.03303303303303303,68.09322357177734,241.5609893798828,299.17205810546875
34,0.03403403403403404,64.62007904052734,230.0211181640625,284.88592529296875
35,0.035035035035035036,61.40525436401367,219.3035430908203,271.61407470703125
36,0.036036036036036036,58.42350387573242,209.322509765625,259.26116943359375
37,0.037037037037037035,55.65317916870117,200.01141357421875,247.735595703125
38,0.03803803803803804,53.07417678833008,191.30885314941406,236.96119689941406
39,0.03903903903903904,50.6694221496582,183.16465759277344,226.8769989013672
40,0.04004004004004004,48.42368698120117,175.5316619873047,217.427734375
41,0.04104104104104104,46.32294845581055,168.3744354248047,208.56588745117188
42,0.042042042042042045,44.355106353759766,161.6439971923828,200.23321533203125
43,0.043043043043043044,42.509151458740234,155.3114013671875,192.39283752441406
44,0.044044044044044044,40.775001525878906,149.34695434570312,185.01048278808594
45,0.04504504504504504,39.143985748291016,143.718505859375,178.04290771484375
46,0.04604604604604605,37.60807418823242,138.40237426757812,171.4613800048828
47,0.04704704704704705,36.159908294677734,133.37789916992188,165.24107360839844
48,0.04804804804804805,34.792999267578125,128.62286376953125,159.3541717529297
49,0.04904904904904905,33.501285552978516,124.11627197265625,153.7742156982422
